State,Code,Latitude,Longitude,2020-01-30 17:00,2020-02-01 17:00,2020-02-02 17:00,2020-02-03 17:00,2020-02-04 17:00,2020-02-05 17:00,2020-02-06 17:00,2020-02-07 17:00,2020-02-08 17:00,2020-02-09 17:00,2020-02-10 17:00,2020-02-11 17:00,2020-02-12 17:00,2020-02-13 17:00,2020-02-14 17:00,2020-02-15 17:00,2020-02-16 17:00,2020-02-17 17:00,2020-02-18 17:00,2020-02-19 17:00,2020-02-20 17:00,2020-02-21 17:00,2020-02-22 17:00,2020-02-23 17:00,2020-02-24 17:00,2020-02-25 17:00,2020-02-26 17:00,2020-02-27 17:00,2020-02-28 17:00,2020-02-29 17:00,2020-03-01 17:00,2020-03-02 17:00,2020-03-03 17:00,2020-03-04 17:00,2020-03-05 17:00,2020-03-06 17:00,2020-03-07 17:00,2020-03-08 17:00,2020-03-09 17:00,2020-03-10 17:00,2020-03-11 17:00,2020-03-12 17:00,2020-03-13 17:00,2020-03-14 17:00,2020-03-15 17:00,2020-03-16 17:00,2020-03-17 17:00,2020-03-18 17:00,2020-03-19 17:00,2020-03-20 17:00,2020-03-21 17:00,2020-03-22 17:00,2020-03-23 17:00,2020-03-24 17:00,2020-03-25 17:00,2020-03-26 17:00,2020-03-27 17:00,2020-03-28 17:00,2020-03-29 17:00,2020-03-30 17:00,2020-03-31 17:00,2020-04-01 09:00,2020-04-01 19:30,2020-04-02 09:00,2020-04-02 18:00,2020-04-03 09:00,2020-04-03 18:00,2020-04-04 09:00,2020-04-04 18:00,2020-04-05 09:00,2020-04-05 18:00,2020-04-06 09:00,2020-04-06 18:00,2020-04-07 09:00,2020-04-07 18:00,2020-04-08 08:00,2020-04-08 17:00,2020-04-09 08:00,2020-04-09 17:00,2020-04-10 08:00,2020-04-10 17:00,2020-04-11 08:00,2020-04-11 17:00,2020-04-12 08:00,2020-04-12 17:00,2020-04-13 08:00,2020-04-13 17:00,2020-04-14 08:00,2020-04-14 17:00,2020-04-15 08:00,2020-04-15 17:00,2020-04-16 08:00,2020-04-16 17:00,2020-04-17 08:00,2020-04-17 17:00,2020-04-18 08:00,2020-04-18 17:00,2020-04-19 08:00,2020-04-19 17:00,2020-04-20 08:00,2020-04-20 17:00,2020-04-21 08:00,2020-04-21 17:00,2020-04-22 08:00,2020-04-22 17:00,2020-04-23 08:00,2020-04-23 17:00,2020-04-24 08:00,2020-04-24 17:00,2020-04-25 08:00,2020-04-26 08:00,2020-04-26 17:00,2020-04-27 08:00,2020-04-27 17:00,2020-04-28 08:00,2020-04-29 08:00,2020-04-29 17:00,2020-04-30 08:00
Goa,GA,15.2993,74.124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Gujarat,GJ,22.2587,71.1924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,5,5,5,8,8,10,10,14,14,18,18,22,22,25,25,25,25,25,26,26,31,31,44,44,44,47,54,55,59,59,64,64,73,74,86,88,93,94,105,106,131,131,139,144,179,179,258,258,265,282,282,313,313,394,434,434,527
Haryana,HR,29.0588,76.0856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,11,11,11,11,11,17,17,21,21,21,21,21,24,24,24,24,25,25,25,25,25,28,28,28,29,29,29,29,29,29,29,29,29,29,34,34,34,43,43,43,43,43,43,43,87,87,87,127,127,127,127,140,140,156,156,156,176,176,176,176,183,209,209,209
Himachal Pradesh,HP,31.1048,77.1734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,6,6,6,6,6,13,13,13,13,13,13,16,16,16,16,16,16,16,16,16,16,16,16,16,16,18,18,18,18,18,22,22,22,22,22,25,25,25
Jammu and Kashmir,JK,33.7782,76.5762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,16,16,30,30,36,36,38,38,42,42,51,51,56,56,71,71,81,81,92,92,92,92,109,112,112,137,137,164,176,176,192
Jharkhand,JH,23.6102,85.2799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,13,13,13,13,13,17,19,19
Karnataka,KA,15.3173,75.7139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,3,3,5,5,5,6,8,8,8,9,9,10,10,12,12,12,12,12,12,12,25,25,25,28,28,28,30,31,37,37,37,57,59,59,65,71,75,80,82,82,82,89,92,104,104,111,111,112,114,129,129,131,141,145,150,152,158,177,182,188,193,207,215,216
Kerala,KL,10.8505,76.2711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,3,3,3,3,3,3,3,4,4,11,11,12,16,20,24,23,23,25,25,27,27,41,41,49,49,55,55,58,58,70,70,83,83,96,96,123,123,123,142,179,179,198,198,211,211,218,218,245,245,255,255,257,257,270,270,291,291,307,323,323,324,324,324,331,338,338,338,342,355,359,359,369
Ladakh,LA,34.1526,77.577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,16,16,16
Lakshadweep,LD,10.5667,72.6417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
